tSec,ra,dec,range,range_rate,
5580,99999999,99999999,99999999,99999999,
5590,99999999,99999999,99999999,99999999,
5600,99999999,99999999,99999999,99999999,
5610,99999999,99999999,99999999,99999999,
5620,99999999,99999999,99999999,99999999,
5630,99999999,99999999,99999999,99999999,
5640,99999999,99999999,99999999,99999999,
5650,99999999,99999999,99999999,99999999,
5660,99999999,99999999,99999999,99999999,
5670,99999999,99999999,99999999,99999999,
5680,99999999,99999999,99999999,99999999,
5690,99999999,99999999,99999999,99999999,
5700,99999999,99999999,99999999,99999999,
5710,99999999,99999999,99999999,99999999,
5720,99999999,99999999,99999999,99999999,
5730,99999999,99999999,99999999,99999999,
5740,99999999,99999999,99999999,99999999,
5750,99999999,99999999,99999999,99999999,
5760,99999999,99999999,99999999,99999999,
5770,99999999,99999999,99999999,99999999,
5780,99999999,99999999,99999999,99999999,
5790,99999999,99999999,99999999,99999999,
